address,latitude,longitude,name,province
1641 S Jefferson Ave,38.615623,-90.221252,SUBWAY®,MO
1051 W Maple Ave,30.48697,-92.42648,Krispy Krunchy Chicken,LA
1305 Veterans Blvd,38.21353844,-90.40835567,Hardee's/red Burrito,MO
13963 New Halls Ferry Rd,38.8067,-90.297975,Arby's,MO
1701 Lacey St,37.31071,-89.53989,Lacey's On The Hill Restaurant,MO
2724 Colonel Glenn Hwy,39.779771000000004,-84.050756,Dairy Queen,OH
260 E Cuyahoga Falls Ave,41.108993,-81.50756700000001,Dairy Queen,OH
235 N Broadway St,40.492212,-81.444822,Dairy Queen,OH
2163 Southgate Pkwy,40.00481,-81.575932,Dairy Queen,OH
2399 David H Mcleod Blvd,34.188759999999995,-79.82401999999999,Arby's,SC
1420 S Irby St,34.166512,-79.763886,Arby's,SC
35 Manchester Rd,42.900371,-71.33503,Burger King,NH
195 Woodstock Ave,43.618244,-72.957313,McDonald's,VT
1155 N Hill Field Rd,41.077026000000004,-111.973568,McDonald's,UT
41 Jayview Dr,44.913112,-72.796661,McDonald's,VT
6096 Highway 49,34.549637,-90.65453000000001,Pizza Pro,AR
155 Dorset St,44.464893,-73.184211,McDonald's,VT
155 Dorset St,44.464893,-73.184211,McDonald's,VT
1125 Shelburne Rd,44.437629,-73.210838,McDonald's,VT
71 Upper Main St,44.507366,-73.086501,McDonald's,VT
44 S Park Dr,44.503345,-73.1809,McDonald's,VT
101 Princeton Blvd,34.376529999999995,-84.91441999999999,Hardee's,GA
916 W North Temple,40.771496,-111.91753200000001,McDonald's,UT
909 W Riverdale Rd,41.178295,-112.000468,McDonald's,UT
211 W 1230 N,40.250567,-111.662228,McDonald's,UT
819 N Sullivan Rd,47.664944,-117.197199,McDonald's,WA
902 S Main St,41.491076,-112.016097,McDonald's,UT
505 W Yelm Ave,46.944589,-122.612408,McDonald's,WA
505 W Yelm Ave,46.944589,-122.612408,McDonald's,WA
2740 Laurel Park Rd,39.21248,-80.37987,Dairy Queen,WV
1600 E Chestnut Ave,46.603108,-120.481796,McDonald's,WA
5910 Summitview Ave,46.600035999999996,-120.586846,McDonald's,WA
5910 Summitview Ave,46.600035999999996,-120.586846,McDonald's,WA
814 S 9th Ave,46.056214000000004,-118.34606799999999,McDonald's,WA
1601 Pacific Ave,45.910773,-122.746105,McDonald's,WA
615 E Grand River Ave,42.73332,-84.47609,Cottage Inn Pizza,MI
3476 Whittier Blvd,34.02649,-118.19894,Little Caesars Pizza,CA
1084 S State Rd,43.017621999999996,-83.517572,Burger King,MI
818 N 12th St,36.6259,-88.3146,Culver's,KY
2510 Frederica St,37.750815,-87.111814,Papa John's Pizza,KY
6 Orient Way,40.8278,-74.1011,Domino's Pizza,NJ
13425 Q St,41.205168,-96.123583,Runza,NE
1303 Bridge St,45.308895,-85.25874499999999,Pizza Hut,MI
816 Galvin Rd S,41.153051,-95.918252,Runza,NE
640 N Park Ave,41.435241,-96.497046,Runza,NE
814 S 13th St,42.024188,-97.42652,Runza,NE
141 S Chestnut St,41.205559,-96.62267299999999,Runza,NE
6893 Gratiot Rd,43.4156,-84.04944,Eudici's Pizza,MI
538 Livingston St,40.9994,-73.9537,Domino's Pizza,NJ
141 Us Highway 46,40.8805,-74.7315,Domino's Pizza,NJ
4402 Baldwin Rd,42.702887,-83.306602,Sbarro,MI
1313 N State St,42.269137,-88.853432,McDonald's,IL
681 N 12th St,38.619582,-89.530023,McDonald's,IL
285 N Front St,41.265584999999994,-88.208353,McDonald's,IL
100 N Bolingbrook Dr,41.698519,-88.068207,McDonald's,IL
1180 N Kinzie Ave,41.160051,-87.85108100000001,McDonald's,IL
575 Main St NW,41.159303,-87.886347,McDonald's,IL
1224 M 89,42.449917,-85.66160500000001,Pizza Hut,MI
6401 Cermak Rd,41.850214,-87.783733,McDonald's,IL
7181 Cermak Rd,41.849965999999995,-87.80297900000001,McDonald's,IL
240 W Chrysler Dr,42.240066,-88.841255,McDonald's,IL
